rcod_hogar,rcod_person,r6,rmujer,redad,rinformal,rDpto,rocu,reduca,ryear,rneduca
00504901911,0050490191103,268.8329264322917,0,18,1,Amazonas,1,3,2021,11.0
00504902411,0050490241101,493.25,0,64,1,Amazonas,1,2,2021,2.0
00504902411,0050490241102,0.0,1,60,1,Amazonas,1,1,2021,
00504902811,0050490281101,0.0,1,85,0,Amazonas,3,2,2021,1.0
00504903511,0050490351101,517.5789388020834,1,75,1,Amazonas,1,2,2021,1.0
00504903511,0050490351102,0.0,1,37,1,Amazonas,1,3,2021,11.0
00505709311,0050570931101,1441.0,0,55,1,Amazonas,1,2,2021,0.0
00505709311,0050570931102,0.0,1,53,0,Amazonas,3,2,2021,0.0
00505709311,0050570931103,1005.6666666666666,1,30,1,Amazonas,1,5,2021,16.0
00505709311,0050570931104,1895.99853515625,0,27,1,Amazonas,1,3,2021,11.0
00505709311,0050570931105,813.7076009114584,1,24,1,Amazonas,1,4,2021,14.0
00505709311,0050570931106,0.0,1,33,0,Amazonas,3,4,2021,14.0
00505710711,0050571071101,509.5833333333333,1,44,1,Amazonas,1,3,2021,8.0
00505710711,0050571071102,0.0,1,88,0,Amazonas,3,2,2021,0.0
00506101011,0050610101101,744.9443105061849,0,52,1,Amazonas,1,2,2021,0.0
00506101011,0050610101102,0.0,1,42,1,Amazonas,1,1,2021,
00506101011,0050610101103,0.0,1,14,1,Amazonas,1,3,2021,7.0
00506102211,0050610221101,288.5,1,63,1,Amazonas,1,3,2021,11.0
00506103411,0050610341101,853.6494547526041,0,63,1,Amazonas,1,3,2021,11.0
00506103411,0050610341102,185.33333333333334,1,57,1,Amazonas,1,2,2021,4.0
00506103411,0050610341103,0.0,0,15,0,Amazonas,3,2,2021,0.0
00506105811,0050610581101,368.5,0,68,1,Amazonas,1,2,2021,3.0
00506105811,0050610581102,0.0,1,46,0,Amazonas,3,2,2021,0.0
00506105811,0050610581103,0.0,1,18,0,Amazonas,3,3,2021,11.0
00506105811,0050610581104,0.0,1,16,0,Amazonas,3,3,2021,11.0
00506107011,0050610701101,874.0,0,36,1,Amazonas,1,4,2021,14.0
00506107011,0050610701102,0.0,1,29,0,Amazonas,3,3,2021,11.0
00506108311,0050610831101,173.66646830240884,0,42,1,Amazonas,1,3,2021,11.0
00506603011,0050660301101,1308.1279296875,0,29,1,Amazonas,1,3,2021,11.0
00506603011,0050660301102,452.3333333333333,1,24,0,Amazonas,1,3,2021,10.0
00506604511,0050660451101,1324.0,1,44,0,Amazonas,1,4,2021,14.0
00506604511,0050660451102,0.0,0,15,0,Amazonas,3,3,2021,9.0
00506608711,0050660871101,0.0,0,74,0,Amazonas,3,4,2021,15.0
00506608711,0050660871102,162.89484659830728,1,62,1,Amazonas,1,3,2021,11.0
00506608711,0050660871103,2728.4603678385415,0,36,1,Amazonas,1,5,2021,16.0
00507302311,0050730231101,1109.4166666666667,0,42,1,Amazonas,1,2,2021,0.0
00507302311,0050730231102,0.0,1,42,1,Amazonas,1,2,2021,0.0
00507302611,0050730261101,600.8333333333334,0,50,1,Amazonas,1,3,2021,11.0
00507302611,0050730261102,0.0,1,42,1,Amazonas,1,2,2021,0.0
00507302611,0050730261103,0.0,1,17,0,Amazonas,3,3,2021,10.0
00507302611,0050730261104,0.0,1,15,1,Amazonas,1,2,2021,0.0
00507302611,0050730261107,0.0,1,21,1,Amazonas,1,2,2021,0.0
00507306911,0050730691101,794.0833333333334,0,52,1,Amazonas,1,3,2021,10.0
00507306911,0050730691102,0.0,0,20,1,Amazonas,1,3,2021,11.0
00507306911,0050730691103,0.0,0,16,1,Amazonas,1,3,2021,8.0
00507307111,0050730711101,160.8166707356771,1,22,1,Amazonas,1,3,2021,11.0
00507307211,0050730721101,267.8333333333333,1,36,1,Amazonas,1,3,2021,7.0
00507307311,0050730731101,1719.97802734375,0,47,1,Amazonas,1,4,2021,14.0
00507307311,0050730731102,0.0,1,46,1,Amazonas,1,2,2021,0.0
00507307311,0050730731103,0.0,0,19,0,Amazonas,3,4,2021,13.0
00507307311,0050730731104,0.0,1,16,0,Amazonas,3,3,2021,10.0
00507307311,0050730731107,0.0,1,81,0,Amazonas,3,1,2021,
00507308111,0050730811101,539.6666666666666,0,42,1,Amazonas,1,3,2021,9.0
00507308111,0050730811102,0.0,1,43,1,Amazonas,1,1,2021,
00507308111,0050730811103,0.0,1,18,0,Amazonas,3,3,2021,11.0
00507308111,0050730811104,0.0,0,16,1,Amazonas,1,3,2021,10.0
00507308111,0050730811105,0.0,1,14,1,Amazonas,1,3,2021,8.0
00507404711,0050740471101,962.8333333333334,0,31,1,Amazonas,1,3,2021,9.0
00507404711,0050740471102,0.0,1,26,1,Amazonas,1,3,2021,10.0
00507404811,0050740481101,996.75,0,29,1,Amazonas,1,3,2021,11.0
00507404811,0050740481102,0.0,1,16,1,Amazonas,1,2,2021,0.0
00507404911,0050740491101,973.0,0,43,1,Amazonas,1,2,2021,0.0
00507404911,0050740491102,113.0,1,48,1,Amazonas,1,2,2021,0.0
00507404911,0050740491103,556.9166666666666,1,17,1,Amazonas,1,3,2021,11.0
00507404911,0050740491104,0.0,1,14,1,Amazonas,1,3,2021,8.0
00507405211,0050740521101,690.4166666666666,0,26,1,Amazonas,1,3,2021,9.0
00507405211,0050740521102,0.0,1,23,1,Amazonas,1,2,2021,0.0
00507413311,0050741331101,1455.0,0,51,1,Amazonas,1,2,2021,0.0
00507413311,0050741331102,0.0,1,48,1,Amazonas,1,2,2021,0.0
00507413311,0050741331103,0.0,1,23,1,Amazonas,1,5,2021,16.0
00507413311,0050741331104,0.0,1,19,1,Amazonas,1,3,2021,11.0
00507413311,0050741331105,0.0,0,17,0,Amazonas,3,3,2021,11.0
00507413511,0050741351101,89.33333333333333,0,53,1,Amazonas,1,4,2021,14.0
00507413611,0050741361101,508.5833333333333,0,59,1,Amazonas,1,3,2021,7.0
00507413611,0050741361102,0.0,1,55,1,Amazonas,1,2,2021,5.0
00507413611,0050741361103,0.0,0,26,0,Amazonas,3,4,2021,14.0
00507413611,0050741361104,0.0,1,14,1,Amazonas,1,3,2021,8.0
00507601511,0050760151101,373.0,0,45,1,Amazonas,1,3,2021,11.0
00507601511,0050760151102,60.916666666666664,1,40,1,Amazonas,1,2,2021,0.0
00507601611,0050760161101,916.1666666666666,0,52,1,Amazonas,1,3,2021,7.0
00507601611,0050760161102,0.0,1,43,1,Amazonas,1,2,2021,0.0
00507601611,0050760161103,0.0,1,14,1,Amazonas,1,2,2021,0.0
00507606111,0050760611101,1081.4166666666667,0,35,1,Amazonas,1,3,2021,11.0
00507606111,0050760611102,0.0,1,36,1,Amazonas,1,2,2021,0.0
00507606111,0050760611103,0.0,1,16,0,Amazonas,3,3,2021,9.0
00507606311,0050760631101,524.75,0,29,1,Amazonas,1,2,2021,0.0
00507606311,0050760631102,0.0,1,27,0,Amazonas,3,2,2021,0.0
00507606411,0050760641101,902.9047444661459,0,26,1,Amazonas,1,2,2021,0.0
00507606411,0050760641102,0.0,1,27,1,Amazonas,1,2,2021,0.0
00507606511,0050760651101,97.58333333333333,1,75,1,Amazonas,1,1,2021,
00507606611,0050760661101,0.0,0,73,0,Amazonas,3,1,2021,
00507606711,0050760671101,0.0,1,74,1,Amazonas,1,1,2021,
00507606711,0050760671102,505.4166666666667,0,44,1,Amazonas,1,2,2021,0.0
00507900111,0050790011101,1130.7327473958333,0,69,1,Amazonas,1,2,2021,2.0
00507900211,0050790021101,324.25,0,33,1,Amazonas,1,2,2021,0.0
00507900211,0050790021102,0.0,1,26,1,Amazonas,1,4,2021,12.0
00507900411,0050790041101,1575.4794514973958,0,22,1,Amazonas,1,4,2021,12.0
00507900411,0050790041102,0.0,1,22,0,Amazonas,3,3,2021,8.0
00507900511,0050790051101,924.8333333333334,0,43,1,Amazonas,1,2,2021,0.0
00507900511,0050790051102,0.0,1,35,1,Amazonas,1,2,2021,0.0
00507903211,0050790321101,2690.5833333333335,0,44,0,Amazonas,1,4,2021,14.0
00507903211,0050790321102,0.0,1,31,1,Amazonas,1,3,2021,11.0
00507903311,0050790331101,2150.7477213541665,0,29,1,Amazonas,1,3,2021,11.0
00507903311,0050790331102,2030.1892369588215,1,33,1,Amazonas,1,3,2021,11.0
00507903511,0050790351101,241.33333333333334,0,71,1,Amazonas,1,1,2021,
00507903511,0050790351102,0.0,1,59,1,Amazonas,1,1,2021,
00507903511,0050790351103,0.0,0,21,1,Amazonas,1,5,2021,12.0
00507903611,0050790361101,510.25,0,40,1,Amazonas,1,3,2021,11.0
00507903611,0050790361102,2774.5833333333335,1,40,0,Amazonas,1,4,2021,14.0
00507903611,0050790361103,0.0,0,15,1,Amazonas,1,3,2021,9.0
00508600811,0050860081101,936.6666666666666,0,55,1,Amazonas,1,2,2021,5.0
00508600811,0050860081102,0.0,1,52,1,Amazonas,1,2,2021,0.0
00508603711,0050860371101,288.0,1,54,1,Amazonas,1,1,2021,
00508603711,0050860371102,0.0,0,26,1,Amazonas,1,3,2021,11.0
00508603711,0050860371103,0.0,1,18,1,Amazonas,1,3,2021,11.0
00508603811,0050860381101,687.4166666666666,0,58,1,Amazonas,1,2,2021,5.0
00508603811,0050860381102,0.0,1,51,1,Amazonas,1,2,2021,0.0
00508603811,0050860381103,272.3694661458333,0,15,1,Amazonas,1,3,2021,7.0
00508604011,0050860401101,654.8333333333334,1,19,1,Amazonas,1,3,2021,9.0
00508703111,0050870311101,309.25,1,69,1,Amazonas,1,2,2021,0.0
00508703111,0050870311102,88.33333333333333,1,51,1,Amazonas,1,2,2021,0.0
00508703111,0050870311103,587.1666666666666,0,31,1,Amazonas,1,3,2021,11.0
00508703111,0050870311104,191.41666666666666,0,29,1,Amazonas,1,3,2021,8.0
00508709111,0050870911101,1138.9166666666667,0,49,1,Amazonas,1,2,2021,0.0
00508709111,0050870911102,0.0,1,43,1,Amazonas,1,2,2021,0.0
00508709311,0050870931101,750.7168782552084,1,34,1,Amazonas,1,2,2021,0.0
00508709411,0050870941101,518.4166666666666,0,61,1,Amazonas,1,2,2021,3.0
00508709411,0050870941102,0.0,1,61,1,Amazonas,1,2,2021,2.0
00508709711,0050870971101,1275.9658203125,0,45,1,Amazonas,1,3,2021,7.0
00508709711,0050870971102,444.75,1,42,1,Amazonas,1,2,2021,0.0
00508709711,0050870971103,510.4369303385417,1,17,1,Amazonas,1,3,2021,11.0
00508709711,0050870971104,119.20029703776042,1,15,1,Amazonas,1,3,2021,8.0
00508709811,0050870981101,578.3333333333334,0,39,1,Amazonas,1,3,2021,11.0
00508709811,0050870981102,0.0,1,35,1,Amazonas,1,3,2021,8.0
00508709811,0050870981103,0.0,0,18,0,Amazonas,3,4,2021,12.0
00508709911,0050870991101,665.6666666666666,0,67,1,Amazonas,1,2,2021,5.0
00508710011,0050871001101,906.25,0,39,1,Amazonas,1,2,2021,0.0
00508710011,0050871001102,0.0,1,37,0,Amazonas,3,2,2021,0.0
00508801611,0050880161101,357.5833333333333,0,48,1,Amazonas,1,2,2021,0.0
00508801611,0050880161102,168.16666666666666,1,42,1,Amazonas,1,2,2021,0.0
00508801611,0050880161103,0.0,1,22,0,Amazonas,3,5,2021,14.0
00508801711,0050880171101,758.9085286458334,0,50,1,Amazonas,1,2,2021,0.0
00508801711,0050880171102,0.0,1,45,1,Amazonas,1,2,2021,0.0
00508801711,0050880171103,738.6061197916666,1,19,1,Amazonas,1,3,2021,11.0
00508802211,0050880221101,1295.5723673502605,0,44,1,Amazonas,1,2,2021,0.0
00508802211,0050880221102,252.64729817708334,1,46,1,Amazonas,1,2,2021,0.0
00508802211,0050880221103,0.0,0,18,0,Amazonas,3,3,2021,10.0
00508804111,0050880411101,385.6666666666667,0,46,1,Amazonas,1,2,2021,0.0
00508804211,0050880421101,182.66666666666666,0,61,1,Amazonas,1,2,2021,5.0
00508804211,0050880421102,47.333333333333336,0,67,1,Amazonas,1,3,2021,10.0
00508805011,0050880501101,82.08333333333333,1,78,1,Amazonas,1,1,2021,
00508900911,0050890091101,309.3333333333333,0,64,1,Amazonas,1,2,2021,4.0
00508900911,0050890091102,0.0,1,57,1,Amazonas,1,2,2021,4.0
00508900911,0050890091103,0.0,1,21,0,Amazonas,3,5,2021,12.0
00508901111,0050890111101,452.8990478515625,0,61,1,Amazonas,1,2,2021,5.0
00508905511,0050890551101,69.83333333333333,1,64,1,Amazonas,1,2,2021,2.0
00508905511,0050890551102,270.30238850911456,1,18,1,Amazonas,1,3,2021,11.0
00508905711,0050890571101,403.90293375651044,0,76,1,Amazonas,1,2,2021,2.0
00508905711,0050890571102,0.0,1,74,1,Amazonas,1,2,2021,0.0
00508905811,0050890581101,70.85964965820312,1,74,1,Amazonas,1,1,2021,
00508906011,0050890601101,1049.9766006469727,0,57,1,Amazonas,1,2,2021,2.0
00508906011,0050890601102,0.0,1,57,0,Amazonas,3,3,2021,10.0
00508906111,0050890611101,444.9166666666667,0,55,1,Amazonas,1,3,2021,11.0
00508906111,0050890611102,0.0,1,52,1,Amazonas,1,3,2021,8.0
00508906111,0050890611103,0.0,1,19,0,Amazonas,3,4,2021,13.0
00508906111,0050890611104,0.0,0,16,1,Amazonas,1,3,2021,11.0
00510207511,0051020751101,2405.7323862711587,0,49,1,Amazonas,1,2,2021,0.0
00510207511,0051020751102,0.0,1,47,0,Amazonas,3,2,2021,0.0
00510207511,0051020751103,898.6880696614584,0,24,1,Amazonas,1,4,2021,14.0
00510207511,0051020751104,0.0,0,17,1,Amazonas,1,3,2021,11.0
00510207511,0051020751105,0.0,0,14,0,Amazonas,3,3,2021,8.0
00510207711,0051020771101,699.7596028645834,0,81,1,Amazonas,1,1,2021,
00510207711,0051020771102,0.0,1,79,0,Amazonas,3,1,2021,
00510217611,0051021761101,692.0833333333334,1,52,1,Amazonas,1,2,2021,0.0
00510217711,0051021771101,360.3333333333333,0,35,1,Amazonas,1,3,2021,11.0
00510217711,0051021771102,0.0,1,32,1,Amazonas,1,2,2021,0.0
00510218011,0051021801101,984.3333333333334,0,57,1,Amazonas,1,2,2021,3.0
00510218011,0051021801102,0.0,1,61,0,Amazonas,3,2,2021,2.0
00510218011,0051021801103,0.0,0,27,1,Amazonas,1,3,2021,11.0
00510219111,0051021911101,329.5,0,68,1,Amazonas,1,2,2021,1.0
00510219111,0051021911102,0.0,1,63,1,Amazonas,1,1,2021,
00510219111,0051021911103,0.0,0,23,1,Amazonas,1,5,2021,12.0
00510219111,0051021911104,0.0,1,16,1,Amazonas,1,3,2021,11.0
00510306911,0051030691101,5329.055562337239,0,42,1,Amazonas,1,5,2021,14.0
00510306911,0051030691102,0.0,1,36,0,Amazonas,3,2,2021,0.0
00510306911,0051030691103,425.2938639322917,0,16,1,Amazonas,1,3,2021,10.0
00510306911,0051030691104,0.0,1,14,1,Amazonas,1,3,2021,8.0
00510307011,0051030701101,413.3333333333333,0,60,1,Amazonas,1,3,2021,7.0
00510307011,0051030701102,0.0,1,51,1,Amazonas,1,2,2021,0.0
00510307011,0051030701103,0.0,1,16,1,Amazonas,1,3,2021,10.0
00510307111,0051030711101,553.6035970052084,0,64,1,Amazonas,1,2,2021,2.0
00510307111,0051030711102,1407.0,1,52,1,Amazonas,1,2,2021,0.0
00510307111,0051030711105,0.0,1,29,1,Amazonas,1,4,2021,14.0
00510307211,0051030721101,2886.2158203125,0,40,1,Amazonas,1,3,2021,11.0
00510307211,0051030721102,0.0,1,42,1,Amazonas,1,5,2021,16.0
00510307211,0051030721103,0.0,1,17,0,Amazonas,3,3,2021,11.0
00510307211,0051030721105,0.0,1,69,0,Amazonas,3,1,2021,
00510307211,0051030721106,0.0,0,98,0,Amazonas,3,1,2021,
00510307211,0051030721107,0.0,1,71,0,Amazonas,3,2,2021,5.0
00510307211,0051030721108,0.0,1,40,0,Amazonas,3,5,2021,16.0
00510319211,0051031921101,0.0,0,74,0,Amazonas,3,2,2021,1.0
00510319211,0051031921102,971.0,1,63,1,Amazonas,1,1,2021,
